player,age,tm.x,number,position,ht,wt,college,country
Nerlens Noel,26,NYK,3,C-F,11-Jun,220,Kentucky,USA
Jaylen Nowell,21,MIN,4,G,4-Jun,201,Washington,USA
Frank Ntilikina,22,NYK,11,G,4-Jun,200,Strasbourg IG,France
Kendrick Nunn,25,MIA,25,G,2-Jun,190,Oakland,USA
Jusuf Nurkić,26,POR,NA,NA,NA,NA,NA,NA
David Nwaba,28,HOU,2,G-F,5-Jun,219,Cal Poly-Obispo,USA
Jordan Nwora,22,MIL,13,F,8-Jun,225,Louisville,USA
Royce O'Neale,27,UTA,23,F,4-Jun,226,Baylor,USA
Semi Ojeleye,26,BOS,37,F,6-Jun,240,Southern Methodist,USA
Jahlil Okafor,25,DET,13,C-F,10-Jun,270,Duke,USA
Chuma Okeke,22,ORL,3,F,6-Jun,229,Auburn,USA
Josh Okogie,22,MIN,20,G,4-Jun,213,Georgia Tech,Nigeria
Onyeka Okongwu,20,ATL,17,F-C,8-Jun,235,Southern California,USA
Isaac Okoro,20,CLE,35,F-G,5-Jun,225,Auburn,USA
KZ Okpala,21,MIA,4,F-G,8-Jun,215,Stanford,USA
Victor Oladipo,28,TOT,7,G,4-Jun,213,Indiana,USA
Kelly Olynyk,29,MIA,9,F-C,11-Jun,240,Gonzaga,Canada
Miye Oni,23,UTA,81,G-F,5-Jun,206,Yale,USA
Cedi Osman,25,CLE,16,F,7-Jun,230,Anadolu Efes,Turkey
Daniel Oturu,21,LAC,10,C,8-Jun,240,Minnesota,USA
Kelly Oubre Jr.,25,GSW,12,F-G,7-Jun,203,Kansas,USA
Eric Paschall,24,GSW,7,F,6-Jun,255,Villanova,USA
Anžejs Pasečņiks,25,WAS,NA,NA,NA,NA,NA,NA
Patrick Patterson,31,LAC,54,F,8-Jun,235,Kentucky,USA
Chris Paul,35,PHO,3,G,1-Jun,175,Wake Forest,USA
Cameron Payne,26,PHO,15,G,1-Jun,183,Murray State,USA
Elfrid Payton,26,NYK,6,G,3-Jun,195,Louisana-Lafayette,USA
Norvel Pelle,27,BRK,14,C,10-Jun,231,Iona,USA
Reggie Perry,20,BRK,0,F-C,8-Jun,250,Mississippi State,USA
Theo Pinson,25,NYK,21,G-F,5-Jun,212,North Carolina,USA
Mason Plumlee,30,DET,24,F-C,11-Jun,254,Duke,USA
Jakob Poeltl,25,SAS,25,C,1-Jul,245,Utah,Austria
Vincent Poirier,27,PHI,17,C-F,1-Jul,235,Baskonia,France
Aleksej Pokusevski,19,OKC,17,C,1-Jul,190,Olympiacos,Serbia
Jordan Poole,21,GSW,3,G,4-Jun,194,Michigan,USA
Michael Porter Jr.,22,DEN,1,F,10-Jun,218,Missouri,USA
Otto Porter,27,CHI,NA,NA,NA,NA,NA,NA
Bobby Portis,25,MIL,9,F,10-Jun,250,Arkansas,USA
Kristaps Porziņģis,25,DAL,NA,NA,NA,NA,NA,NA
Dwight Powell,29,DAL,7,F-C,10-Jun,240,Stanford,Canada
Norman Powell,27,TOR,24,G,3-Jun,215,UCLA,USA
Taurean Prince,26,TOT,12,F,7-Jun,218,Baylor,USA
Payton Pritchard,23,BOS,11,G,1-Jun,195,Oregon,USA
Immanuel Quickley,21,NYK,5,G,3-Jun,190,Kentucky,USA
Jahmi'us Ramsey,19,SAC,3,G,3-Jun,190,Texas Tech,USA
Julius Randle,26,NYK,30,F-C,8-Jun,250,Kentucky,USA
Cam Reddish,21,ATL,22,F-G,8-Jun,218,Duke,USA
J.J. Redick,36,NOP,NA,NA,NA,NA,NA,NA
